title,genres
"The Dark Knight","Action Crime Drama"
"Inception","Action Adventure Sci-Fi"
"Interstellar","Adventure Drama Sci-Fi"
"The Godfather","Crime Drama"
"The Shawshank Redemption","Drama"
"Pulp Fiction","Crime Drama"
"The Matrix","Action Sci-Fi"
"Forrest Gump","Drama Romance"
"The Lion King","Animation Adventure Drama"
"Gladiator","Action Adventure Drama"
"The Silence of the Lambs","Crime Drama Thriller"
"Schindler's List","Biography Drama History"
"Parasite","Comedy Drama Thriller"
"Spirited Away","Animation Adventure Family"
"Coco","Animation Adventure Family"
"Your Name","Animation Drama Fantasy"
"The Avengers","Action Adventure Sci-Fi"
"Guardians of the Galaxy","Action Adventure Comedy"
"Deadpool","Action Adventure Comedy"
"Toy Story","Animation Adventure Comedy"
"The Grand Budapest Hotel","Adventure Comedy Drama"
"Superbad","Comedy"
"Step Brothers","Comedy"
"The Hangover","Comedy"
"John Wick","Action Crime Thriller"
"Mad Max: Fury Road","Action Adventure Sci-Fi"
"Blade Runner 2049","Action Drama Sci-Fi"
"Arrival","Drama Sci-Fi Thriller"
"Dune","Action Adventure Sci-Fi"
"Seven","Crime Drama Mystery"
"The Prestige","Drama Mystery Sci-Fi"
"Memento","Mystery Thriller"
"Eternal Sunshine of the Spotless Mind","Drama Romance Sci-Fi"
"The Truman Show","Comedy Drama"
"The Wolf of Wall Street","Biography Comedy Crime"
"Goodfellas","Biography Crime Drama"
"Whiplash","Drama Music"
"La La Land","Comedy Drama Music"
"Spider-Man: Into the Spider-Verse","Animation Action Adventure"
"Your Name","Animation Drama Fantasy"
"12 Angry Men","Crime Drama"
"Fight Club","Drama"
"The Departed","Crime Drama Thriller"
"Saving Private Ryan","Drama War"
"Life is Beautiful","Comedy Drama War"
"The Usual Suspects","Crime Mystery Thriller"
"Léon: The Professional","Action Crime Drama"
"City of God","Crime Drama"
"American History X","Drama"
"Se7en","Crime Drama Mystery"
"It's a Wonderful Life","Drama Family Fantasy"
"Modern Times","Comedy Drama Romance"
"The Great Dictator","Comedy Drama War"
"City Lights","Comedy Drama Romance"
"Grave of the Fireflies","Animation Drama War"
"The Intouchables","Biography Comedy Drama"
"Cinema Paradiso","Drama Romance"
"Django Unchained","Drama Western"
"The Shining","Drama Horror"
"Aliens","Action Adventure Sci-Fi"
"Oldboy","Action Drama Mystery"
"Wall-E","Animation Adventure Family"
"Up","Animation Adventure Comedy"
"Inside Out","Animation Adventure Comedy"
"Toy Story 3","Animation Adventure Comedy"
"Ratatouille","Animation Adventure Comedy"
"Princess Mononoke","Animation Action Adventure"
"My Neighbor Totoro","Animation Family Fantasy"
"Howl's Moving Castle","Animation Adventure Family"
"Castle in the Sky","Animation Adventure Family"
"Jaws","Adventure Thriller"
"Alien","Horror Sci-Fi"
"Terminator 2: Judgment Day","Action Sci-Fi"
"Star Wars: Episode IV - A New Hope","Action Adventure Sci-Fi"
"Star Wars: Episode V - The Empire Strikes Back","Action Adventure Sci-Fi"
"Indiana Jones and the Raiders of the Lost Ark","Action Adventure"
"Back to the Future","Adventure Comedy Sci-Fi"
"Jurassic Park","Action Adventure Sci-Fi"
"The Lord of the Rings: The Fellowship of the Ring","Action Adventure Drama"
"The Lord of the Rings: The Two Towers","Action Adventure Drama"
"The Lord of the Rings: The Return of the King","Action Adventure Drama"
"Harry Potter and the Sorcerer's Stone","Adventure Family Fantasy"
"Harry Potter and the Deathly Hallows: Part 2","Adventure Family Fantasy"
"The Lion King","Animation Adventure Drama"
"Finding Nemo","Animation Adventure Comedy"
"Shrek","Animation Adventure Comedy"
"The Incredibles","Animation Action Adventure"
"Despicable Me","Animation Adventure Comedy"
"Frozen","Animation Adventure Comedy"
"Moana","Animation Adventure Comedy"
"The Little Mermaid","Animation Adventure Family"
"Beauty and the Beast","Animation Family Fantasy"
"Aladdin","Animation Adventure Family"
"Mulan","Animation Adventure Family"
"The Nightmare Before Christmas","Animation Family Fantasy"
"Kiki's Delivery Service","Animation Adventure Family"
"Ponyo","Animation Adventure Family"
"Nausicaä of the Valley of the Wind","Animation Adventure Fantasy"
"Akira","Animation Action Sci-Fi"
"Ghost in the Shell","Animation Action Crime"
"Perfect Blue","Animation Crime Drama"
"Millennium Actress","Animation Drama Fantasy"
"Paprika","Animation Drama Fantasy"
"A Silent Voice","Animation Drama Family"
"Your Name.","Animation Drama Fantasy"
"Weathering with You","Animation Drama Fantasy"
"Suzume","Animation Action Adventure"
"5 Centimeters per Second","Animation Drama Romance"
"The Garden of Words","Animation Drama Romance"
"Whisper of the Heart","Animation Drama Family"
"Only Yesterday","Animation Drama Romance"
"The Tale of The Princess Kaguya","Animation Drama Fantasy"
"When Marnie Was There","Animation Drama Family"
"Wolf Children","Animation Drama Family"
"The Boy and the Beast","Animation Action Adventure"
"Summer Wars","Animation Comedy Sci-Fi"
"Mirai","Animation Adventure Drama"
"The Girl Who Leapt Through Time","Animation Drama Sci-Fi"
"Sword of the Stranger","Animation Action Adventure"
"Redline","Animation Action Sci-Fi"
"Promare","Animation Action Sci-Fi"
"Tekkonkinkreet","Animation Action Adventure"
"Mind Game","Animation Adventure Comedy"
"Paping","Animation Adventure Comedy"
"In This Corner of the World","Animation Drama War"
"Tokyo Godfathers","Animation Adventure Comedy"
"Cowboy Bebop: The Movie","Animation Action Crime"
"Jin-Roh: The Wolf Brigade","Animation Action Crime"
"Patlabor 2: The Movie","Animation Action Crime"
"Royal Space Force: The Wings of Honneamise","Animation Action Adventure"
"Angel's Egg","Animation Drama Fantasy"
"Vampire Hunter D: Bloodlust","Animation Action Fantasy"
"Ninja Scroll","Animation Action Adventure"
"Final Fantasy VII: Advent Children","Animation Action Adventure"
"Street Fighter II: The Animated Movie","Animation Action Adventure"
"Fist of the North Star","Animation Action Adventure"
"Golgo 13: The Professional","Animation Action Crime"
"Wicked City","Animation Action Horror"
"Demon City Shinjuku","Animation Action Horror"
"Cyber City Oedo 808","Animation Action Sci-Fi"
"Genocyber","Animation Action Sci-Fi"
"Battle Angel Alita","Animation Action Sci-Fi"
"Appleseed","Animation Action Sci-Fi"
"Venus Wars","Animation Action Sci-Fi"
"Grey: Digital Target","Animation Action Sci-Fi"
"Macross: Do You Remember Love?","Animation Action Sci-Fi"
"Megazone 23","Animation Action Sci-Fi"
"Bubblegum Crisis","Animation Action Sci-Fi"
"Dirty Pair: Project Eden","Animation Action Adventure"
"Project A-Ko","Animation Action Adventure"
"Urusei Yatsura 2: Beautiful Dreamer","Animation Adventure Comedy"
"Maison Ikkoku: The Movie","Animation Comedy Romance"
"Ranma 1/2: Big Trouble in Nekonron, China","Animation Action Comedy"
"Dragon Ball Z: Broly - The Legendary Super Saiyan","Animation Action Adventure"
"One Piece: Baron Omatsuri and the Secret Island","Animation Action Adventure"
"Naruto Shippuden the Movie: Road to Ninja","Animation Action Adventure"
"Bleach: Memories of Nobody","Animation Action Adventure"
"Fullmetal Alchemist: The Sacred Star of Milos","Animation Action Adventure"
"The Disappearance of Haruhi Suzumiya","Animation Comedy Drama"
"Steins;Gate: The Movie - Load Region of Déjà Vu","Animation Drama Sci-Fi"
"Puella Magi Madoka Magica the Movie: Rebellion","Animation Drama Fantasy"
"Fate/stay night: Heaven's Feel - III. Spring Song","Animation Action Fantasy"
"Evangelion: 3.0+1.0 Thrice Upon a Time","Animation Action Drama"
"Mobile Suit Gundam: Char's Counterattack","Animation Action Sci-Fi"
"Legend of the Galactic Heroes: My Conquest Is the Sea of Stars","Animation Action Drama"
"The Sky Crawlers","Animation Drama Sci-Fi"
"The Place Promised in Our Early Days","Animation Drama Sci-Fi"
"Children Who Chase Lost Voices","Animation Adventure Fantasy"
"The Cat Returns","Animation Adventure Comedy"
"Pom Poko","Animation Comedy Drama"
"Tales from Earthsea","Animation Adventure Fantasy"
"From Up on Poppy Hill","Animation Drama Family"
"Mary and the Witch's Flower","Animation Adventure Family"
"Modest Heroes","Animation Adventure Family"
"NiNoKuni","Animation Action Adventure"
"A Whisker Away","Animation Adventure Comedy"
"Drifting Home","Animation Adventure Drama"
"Bubble","Animation Action Sci-Fi"
"Goodbye, Don Glees!","Animation Adventure Drama"
"The Deer King","Animation Action Adventure"
"Inu-Oh","Animation Drama Fantasy"
"The First Slam Dunk","Animation Drama Sport"
"Blue Giant","Animation Drama Music"
"Lonely Castle in the Mirror","Animation Drama Fantasy"
"Tunnel to Summer the Exit of Goodbyes","Animation Drama Sci-Fi"
"Alice to Therese no Maboroshi Koujou","Animation Drama Fantasy"
"Maboroshi","Animation Drama Fantasy"
"The Imaginary","Animation Adventure Family"
"Over the Sky","Animation Adventure Fantasy"
"Hello World","Animation Drama Sci-Fi"
"Her Blue Sky","Animation Drama Family"
"Wonderland","Animation Adventure Family"
"Penguin Highway","Animation Adventure Comedy"
"Okko's Inn","Animation Adventure Family"
"Lu over the Wall","Animation Adventure Comedy"
"Night Is Short Walk On Girl","Animation Adventure Comedy"
"The Case of Hana & Alice","Animation Adventure Comedy"
"Hana and Alice","Animation Adventure Comedy"
"Harmonie","Animation Drama School"
"Eve no Jikan","Animation Drama Sci-Fi"
"Pale Cocoon","Animation Drama Sci-Fi"
"Voices of a Distant Star","Animation Drama Sci-Fi"
"She and Her Cat","Animation Drama Slice of Life"
